1.01E-07,3.61E-19,964.396,1033.503,1095.691,1115.496,1183.949,1240.363,1326.596,1374.614,1529.217,1695.861,1899.023,2117.692,2556.409,2968.465,3429.759,4107.517,5245.106,6142.876,7535.205,9057.661,10633.661,11495.26,10573.212,7836.647,4793.629,2152.623,687.407,147.88,50.429,24.98,10.112,7.654,4.113,6.678,1.091,2.72,1.953,1.639,0.819,2.195
1.08E-07,4.19E-19,727.279,769.08,751.408,807.451,831.2,860.339,892.846,971.811,1047.79,1180.985,1312.464,1433.193,1732.387,1955.136,2302.242,2672.899,3279.635,4144.819,5353.313,6394.75,7846.357,8953.476,9206.713,8068.734,5962.925,3391.489,1436.409,386.118,86.942,29.145,12.109,6.054,4.122,3.561,3.291,2.189,1.101,2.453,2.459,1.094
1.16E-07,4.86E-19,462.109,480.631,473.881,499.205,515.887,561.624,564.571,621.441,655.334,722.697,835.907,940.949,1070.12,1233.08,1480.037,1778.852,2385.822,2852.796,3616.036,4357.94,5363.436,6732.188,8000.918,8638.135,7629.437,5351.698,3006.516,1111.458,290.128,58.152,29.704,10.751,6.038,4.952,3.624,3.835,1.914,1.641,0.822,1.368
1.24E-07,5.62E-19,530.102,539.988,579.211,569.563,595.14,628.236,643.819,669.961,744.137,822.868,878.702,949.222,1080.802,1298.933,1503.254,1805.016,2246.02,2635.916,3243.52,3931.666,4820.903,6031.831,7391.956,8519.324,8635.715,7319.743,5156.697,2694.663,973.625,228.718,60.825,22.608,11.818,4.132,3.568,3.565,3.022,1.373,3.831,1.097
1.32E-07,6.52E-19,428.503,429.541,424.331,453.167,485.32,475.002,477.134,526.995,565.56,586.045,645.78,695.405,771.286,886.035,1038.769,1191.973,1463.877,1818.218,2213.398,2671.485,3346.693,4216.565,5164.725,6274.38,7271.118,7198.958,6017.118,3985.058,1971.054,657.882,151.408,36.835,19.015,8.516,4.415,3.354,2.806,0.825,3.014,1.717
1.42E-07,7.54E-19,288.669,311.174,341,485.683,536.73,555.263,558.167,560.127,597.504,623.011,689.722,757.498,865.584,970.676,1095.839,1301.46,1540.75,1771.863,2168.325,2653.8,3364.225,4629.26,5879.253,7438.521,9299,10619.777,10657.16,8376.716,5334.574,2495.58,797.768,173.174,49.479,21.763,9.36,8.536,6.062,3.569,2.741,1.647
1.52E-07,8.75E-19,355.161,359.846,356.609,341.394,342.601,350.587,358.741,364.819,401.988,402.13,480.253,443.98,517.658,545.924,604.707,686.659,838.489,979.817,1186.323,1526.939,1925.035,2419.404,3116.773,4071.109,5117.178,6275.606,7106.925,7020.5,5551.861,3359.147,1442.144,408.584,91.209,25.885,14.614,6.057,3.306,2.753,1.66,3.297
1.63E-07,1.01E-18,217.18,219.564,212.522,238.869,237.089,235.35,250.916,244.747,250.335,255.955,275.987,303.536,290.934,349.405,388.446,428.594,499.504,594.606,744.213,917.723,1155.255,1490.223,1959.173,2471.901,3151.35,3994.654,4845.962,5418.915,5210.201,3947.759,2320.723,906.2,237.272,53.705,18.746,9.659,3.579,2.743,3.573,2.475
1.75E-07,1.18E-18,156.256,149.181,155.867,157.194,156.305,144.551,161.582,165.374,179.009,178.052,184.29,193.274,215.365,234.878,246.031,281.583,315.588,336.525,443.416,515.319,650.616,865.211,1102.597,1449.591,1910.226,2431.91,3170.367,3891.274,4308.611,3972.236,2954.635,1533.743,560.952,137.1,30.38,11.464,6.896,3.035,1.387,1.929
1.88E-07,1.36E-18,92.27,95.005,93.059,94.602,99.658,90.877,100.126,103.674,96.18,106.907,108.774,110.542,116.34,127.695,148.301,168.7,155.623,185.556,207.453,249.581,293.977,378.018,541.636,758.394,913.413,1211.274,1586.888,2049.991,2909.987,3294.122,2690.028,1872.965,995.78,380.127,81.775,18.783,6.352,3.868,2.48,2.213
2.02E-07,1.58E-18,75.182,75.885,83.86,77.825,87.872,77.726,90.742,81.01,100.015,97.917,86.963,91.295,97.346,107.108,119.974,120.422,139.9,154.164,166.495,202.937,259.805,304.155,407.905,548.961,983.553,1427.797,1863.35,2454.837,3269.287,3993.498,3984.779,3308.734,2158.548,1051.676,312.537,65.772,17.901,8.789,4.672,2.48
2.18E-07,1.83E-18,79.675,83.291,38.981,35.735,35.661,35.374,41.057,37.798,45.856,35.625,36.99,35.559,39.107,34.154,40.57,38.666,44.873,50.695,51.219,61.829,68.987,78.574,90.132,118.715,159.532,241.608,321.079,400.928,573.693,730.144,903.015,1024.515,822.732,514.374,231.259,58.259,7.978,2.479,1.927,1.099
2.35E-07,2.12E-18,9.297,12.278,8.842,14.156,11.454,10.065,10.618,12.209,13.299,15.476,13.023,13.02,16.284,11.409,15.184,16.045,13.048,13.607,15.549,16.106,14.973,21.542,23.759,23.244,25.397,33.878,51.933,82.066,146.528,182.187,246.691,276.689,296.447,238.045,137.807,46.676,12.067,1.376,0.549,0.001
2.54E-07,0.182,3.834,2.462,1.099,1.361,2.178,2.723,3.54,3.262,2.714,2.721,3.267,2.711,2.71,2.169,2.639,2.715,3.266,4.336,2.721,4.354,5.409,5.456,7.383,5.73,12.024,13.657,17.781,27.874,44.575,69.993,91.638,120.17,150.695,167.139,142.167,66.993,32.128,7.146,0.548,0.277
,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
